KsiazkaId,Tytul,Autor,Opis,Kategoria,Opis_en
1976,Ona coś ukrywa,Darcey Bell,"Nowy, szokujący thriller Darcey Bell, autorki bestsellera „Zwyczajna przysługa”

Charlotte ma w życiu wszystko, o czym tylko marzyła: kochającego męża, niewielką, lecz świetnie prosperującą kwiaciarnię, a także uroczą i bardzo bystrą córkę – pięcioletnią Daisy. Pewnego dnia młodszy brat Charlotte, Rocco, przedstawia bliskim swoją nową dziewczynę, Ruth, i z początku wszyscy próbują okazać im jak najwięcej wsparcia.

Jednak w miarę, jak relacja łącząca Rocco i Ruth się pogłębia, coraz wyraźniej widać obsesję kobiety na punkcie małej Daisy. Pewnego dnia dziewczynka znika ze szkoły, a Charlotte jest przekonana o tym, że wie, kto za tym stoi.

Na jaw wychodzą stopniowo kolejne tajemnice, kłamstwa i traumy, a życie Ruth i Charlotte – a także ich rodzin – może wkrótce lec w gruzach.",Kryminał,"A shocking new thriller from Darcey Bell, bestselling author of A Simple Favor
Charlotte has everything she ever dreamed of in life: a loving husband, a small but successful flower shop, and a lovely and very smart daughter – five-year-old Daisy . One day, Charlotte's younger brother, Rocco , introduces his new girlfriend, Ruth , to his family , and at first everyone tries to be as supportive as possible.
But as Rocco and Ruth 's relationship deepens, Ruth's obsession with little Daisy becomes increasingly apparent . One day, the girl disappears from school, and Charlotte is convinced she knows who's behind it.
As more secrets, lies, and traumas are revealed, Ruth and Charlotte's lives—and those of their families—may soon be in ruins."
143,Arsene Lupin. Dżentelmen włamywacz,Maurice Leblanc,"Dżentelmen – włamywacz i… wyśmienity detektyw.
Arsene Lupin zasłynął prawdziwym mistrzostwem w sztuce rabunku dzięki niezwykłej inteligencji oraz sprytowi i talentowi do kamuflażu i charakteryzacji. Jednocześnie był włamywaczem honorowym – nigdy nie krzywdził biednych. Z wzajemnością uwielbiał kobiety, a także potrafił znaleźć wyjście nawet z najtrudniejszej sytuacji.
Opowiadania kryminalne o detektywie-włamywaczu, które pokochali czytelnicy na całym świecie, w nowej, ekskluzywnej odsłonie! Rozbawią, zaintrygują i zaskoczą najbardziej wymagającego książkofila.
A jeśli po lekturze trudno będzie wam się rozstać z Arsenem Lupinem – na platformie Netflix czeka serial inspirowany jego przygodami.",Kryminał,"
A gentleman burglar and… an excellent detective.
Arsene Lupin became famous for his true mastery of the art of robbery thanks to his extraordinary intelligence, cunning and talent for camouflage and characterization. At the same time, he was an honorary burglar - he never hurt the poor. He loved women, and he was also able to find a way out of even the most difficult situations. Crime stories about a detective-burglar, loved by readers all over the world, in a new, exclusive version! They will amuse, intrigue and surprise the most demanding book lover . And if after reading it is difficult for you to part with Arsene Lupin - a series inspired by his adventures awaits on the Netflix platform ."
1405,Lato tajemnic. Seria Klub Martini. Tom 2,Tess Gerritsen,"KLUB MARTINI NIE JEST OTWARTY DLA WSZYSTKICH…

Klub Maggie Bird nie jest zwykłą grupą czytelniczą – należą do niego emerytowani szpiedzy CIA prowadzący anonimowe życie w nadmorskim miasteczku Purity. Nadchodzące lato planowali spędzić na „czytaniu” (z kieliszkami martini w dłoniach) i ukradkowej obserwacji ptaków. Ale wygląda na to, że wraz z przybyciem wakacyjnych gości kłopoty same ich znalazły…

Pełniącej obowiązki komendanta policji Jo Thibodeau sezon urlopowy przynosi znane już problemy – zakorkowane ulice, bójki w barach, drobne kradzieże. Ale w tym roku dołącza do nich nowy kłopot: tajemnicze zaginięcie nastolatki nad jeziorem.
Kiedy sąsiad Maggie staje się głównym podejrzanym w sprawie zniknięcia dziewczyny, członkowie Klubu Martini odkładają lornetki i zakasują rękawy. A to oznacza, że Jo Thibodeau będzie musiała stawić czoła nie tylko wpływowej rodzinie, desperacko poszukującej odpowiedzi na pytanie, co się stało z zaginioną – ale także z grupie wścibskich emerytów.

Czy Jo Thibodeau i członkowie Klubu Martini, którzy właśnie trafili na jeden z najbardziej zbrodniczych skandali, jakie kiedykolwiek widziało ich miasteczko, znajdą sposób, by wspólnie rozwiązać tę sprawę?

Druga odsłona „Klubu Martini”, serii thrillerów szpiegowskich z byłą agentką CIA Maggie Bird w roli głównej.
Autorka bestsellerowego cyklu „Rizzoli & Isles”, Tess Gerritsen, przedstawia mrożącą krew w żyłach kontynuację „Wybrzeża szpiegów”, w której emerytowani szpiedzy próbują rozwiązać zagadkę zaginięcia nastolatki i ze zdziwieniem odkrywają, że ta sprawa może być powiązana z ich własną przeszłością.

„Czwartkowy Klub Zbrodni” na sterydach.
SAGA Magazine

Uwielbiam tę serię. „Lato tajemnic” to niesamowita zagadka kryminalna – nie mogłam się oderwać!
Shari Lapena",Kryminał,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS
2893,Świadek śmierci,Nora Roberts,"Morderstwa zawsze gromadziły sporą publikę...

Scena nowo otwartego nowojorskiego teatru zmienia się w czasie premiery w miejsce zbrodni. Główny aktor zostaje zasztyletowany na samym środku sceny na oczach porucznik Eve Dallas. Policjantka musi się zająć sprawą morderstwa o wysokim priorytecie, którego była bezpośrednim świadkiem. Na domiar złego media bardzo szybko odkrywają, że właścicielem teatru jest jej mąż.

Rozpoczyna się zawiłe dochodzenie, w którym największym problemem jest wytyczenie granicy między prawdą a grą.",Kryminał," Murders have always gathered a large audience...
The stage of a newly opened New York theater turns into a crime scene during the premiere. The leading actor is stabbed to death in the middle of the stage in front of Lieutenant Eve Dallas. The policewoman must deal with a high-priority murder case, which she witnessed first-hand. To make matters worse, the media very quickly discovers that the owner of the theater is her husband.
A convoluted investigation begins, in which the biggest problem is drawing the line between truth and acting."
815,Fałszywe intencje. Seria Tajemnice Abby Mullen. Tom 2 (wydanie pocketowe),Mike Omer,"Autor bestsellerów „New York Timesa” oraz „The Washington Post” Mike Omer nadchodzi z nową serią – pełną psychologicznych zwrotów akcji oraz zaskakujących posunięć policji, które jego wierni fani znają z poprzednich serii i kochają.
 
Abby Mullen w dzieciństwie przebywała w sekcie Wilcox, ale uciekła gdy jej siedziba spłonęła. Lata później jest najlepszym negocjatorem policji nowojorskiej, wychowuje córkę i sądzi, że najgorszą część życia ma już za sobą. Wtedy dochodzi do ataku na miejscową szkołę przez uzbrojonych zwolenników teorii spiskowych, nazywający samych siebie Watchers, którzy biorą na zakładniczkę córkę Mullen.
 
Nieuchwytni Watchers przetrzymują dziewczynkę. Abby musi opanować emocje, choć jest u granic wytrzymałości. Czas ucieka, a ona nie ma wyjścia – musi negocjować z grupą paranoików i odkryć sekret ich przywódcy, zanim będzie za późno. Choć wydaje jej się, że jest blisko rozwiązania, wciąż odkrywa kolejne warstwy tajemnic. Co gorsza, porywacze mają powiązania z sektą, o której próbowała zapomnieć.
 
Mike Omer powraca w świetnej formie i znów oferuje doskonałą, mrożącą krew w żyłach rozrywkę.",Kryminał,"QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS a sect she tried to forget.
 
Mike Omer returns in great shape and again offers excellent, chilling entertainment."
1794,Niania (wydanie pocketowe),Gilly Macmillan,"Czasami lepiej usłyszeć kłamstwo, bo prawda jest zbyt bolesna.
„Tajemnice z przeszłości, wystawiona na próbę lojalność i narastające poczucie strachu... 
Do zakochania! Napięcie nie opada ani na chwilę, aż do szokującego finału”. Shari Lapena
Siedmioletnia Jocelyn nie może przeboleć straty niani, która zniknęła w środku nocy. Dlaczego opuściła dziewczynkę bez pożegnania?
Trzydzieści lat później Jo zmuszona jest wrócić do rodzinnego domu i zmierzyć się ze skomplikowaną relacją ze swoją matką. Kiedy na terenie posiadłości zostają odkryte ludzkie szczątki, a do drzwi puka nieoczekiwany gość, Jo odkrywa, że jej wspomnienia z dzieciństwa nie są całkiem zgodne z prawdą.
Jakie tajemnice skrywała jej niania… i czy Jo może wierzyć w to, co mówi jej matka?
Nowa powieść Gilly Macmillan, autorki bestsellerów ""Dziewięć dni"" oraz ""Inne dziecko"", zabierze cię w podróż do świata, w którym nic nie jest oczywiste. Emocje gwarantowane od pierwszej strony do ostatniej.",Kryminał,"
Sometimes it's better to hear a lie because the truth is too painful.
""Secrets from the past, loyalties tested, and a growing sense of fear...
To fall in love! The tension never lets up until the shocking finale."" Shari Lapen 
Seven-year-old Jocelyn is still reeling from the loss of her nanny, who disappeared in the middle of the night. Why did she leave without saying goodbye?
Thirty years later, Jo is forced to return to her childhood home and confront her complicated relationship with her mother. When human remains are discovered on the property and an unexpected guest knocks on the door, Jo discovers that her childhood memories are not entirely accurate.
What secrets was her nanny keeping… and could Jo believe what her mother told her?
The new novel by Gilly Macmillan, author of the bestsellers ""Nine Days"" and ""The Other Child"", takes you on a journey into a world where nothing is obvious. Emotions guaranteed from the first page to the last."
2681,"Słuchajcie, jak kłamią",Amy Tintera,"Bestseller „New York Times’a” i USA Today.
Wybór klubu książki „Good Morning America”.
Książka nominowana w plebiscycie Goodreads Choice Awards 2024 w kategorii Mystery & Thriller.
Thriller z prawdziwie diabelskimi zwrotami akcji i wisielczym humorem.

Co by było, gdybyś myślała, że zamordowałaś najlepszą przyjaciółkę? 
I gdyby wszyscy inni też tak myśleli? 
A prawda w ogóle nie miałaby znaczenia?
Lucy i Savvy były wspaniałymi dziewczynami, chlubą małego teksańskiego miasteczka, z którego pochodziły. Obie ładne, inteligentne i budzące zazdrość. Lucy poślubiła wymarzonego chłopaka, który dał jej ogromny pierścionek i jeszcze większy nowy dom. Savvy była duszą towarzystwa – wszyscy ją kochali, a jeśli wierzyć plotkom, szczególną popularnością cieszyła się wśród mężczyzn. 
Pewnej straszliwej nocy znaleziono Lucy błąkającą się po poboczu drogi, całą we krwi swojej najlepszej przyjaciółki Savvy. Lucy nie pamiętała, co się wtedy wydarzyło, i choć nigdy nie została oskarżona o tę zbrodnię, wszyscy uznali, że jest morderczynią. 
Od tamtego czasu minęło kilka lat. Lucy przeprowadziła się do Los Angeles i rozpoczęła nowe życie. Niestety, jej sprawę wziął właśnie na celownik Ben Owens, prowadzący nieprawdopodobnie popularny podcast kryminalny „Słuchajcie, jak kłamią”. Zagadkowe morderstwo Savvy ma być hitem drugiego sezonu jego programu. 
Lucy wraca tam, gdzie przysięgła nigdy więcej nie postawić stopy, aby rozwiązać tajemnicę tamtej zbrodni i znaleźć kata przyjaciółki – nawet gdyby to ona miałaby się nim okazać. Usilnie stara się poskładać w całość wydarzenia tamtej dawno zapomnianej nocy, zanim depczący jej po piętach podcaster przygwoździ ją swoją śmiałą tezą.
Prawda na pewno gdzieś tam jest, trzeba tylko nastawić uszu…

Światowej klasy kryminał. Zagadka morderstwa, przy której bawiłem się jak nigdy dotąd.
Lucy to wspaniała główna bohaterka: zadziorna, zabawna i szatańsko odważna!
Stephen King
Przepysznie mroczna!
Alice Feeney
Przezabawna, emocjonująca, nieprzewidywalna.
Liane Moriarty 
Czarna komedia, która budzi dreszcz. Rozkoszna!
Alex Michaelides
Fachowo rozrysowana sieć tajemnic i kłamstw oplatających małe, prowincjonalne miasteczko. Dawno nie bawiłem się tak dobrze czytając kryminał.
Chandler Baker
Seks, kłamstwa i podcasty – wszystko to łączy się w tej fenomenalnej zagadce kryminalnej. 
Amy Tintera błyskotliwie igra z naszą obsesją na punkcie prawdziwych zbrodni oraz z fascynacją powieściowymi morderstwami i dziwacznymi detektywami rodem ze świata fikcji. Kryminał staje się zaledwie jej inspiracją, gdy tworzy zupełnie nowy gatunek, który bije go na głowę.
„Washington Post”
Podcast o prawdziwych zbrodniach przyciągnie czytelników, ale to wyjątkowy głos Lucy sprawi, że będą przewracać kolejne strony. Fascynujące spojrzenie na prowincjonalne życie i toksyczną męskość.
„Booklist”
Małomiasteczkowe dramaty, ostry jak brzytwa humor, silne charaktery i szczypta ognistego romansu czynią ten dowcipny kryminał naprawdę wyjątkowym.
„Shelf Awareness”
Inteligentna, błyskotliwa i zabawna jak cholera.
„Kirkus”",Kryminał,"QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS really special.
""Shelf Awareness""
Smart, brilliant and fun as hell.
'Kirkus'"
3064,Tylko jedno spojrzenie (wydanie serialowe),Harlan Coben,"„Życie Grace Lawson zaczęło się rozpadać, kiedy poszła odebrać zdjęcia”.

W zwyczajne popołudnie, które miało się okazać ostatnim zwyczajnym popołudniem w jej życiu, Grace zaczęła przeglądać odbitki z rodzinnej wycieczki. Uśmiechnięte twarze córki, syna i Jacka – kochanego męża… A za chwilę – fotografia z zupełnie innych czasów, z pięcioma obcymi osobami.

Obcymi…? Jedna twarz wygląda bardzo znajomo… Zupełnie jakby Jack, tylko młodszy o dwadzieścia lat. Ale jej mąż zaprzecza, że znajduje się na zdjęciu. A tej samej nocy znika bez śladu.

Grace jest zdecydowana zrobić wszystko, aby odnaleźć Jacka i odkryć prawdę o podrzuconym zdjęciu. Nie wie jednak, że do tego samego dążą też inni – a wśród nich pewien zawzięty zabójca…

""Gdy już myślimy, że wszystko stało się nareszcie jasne, [Coben] serwuje nam ostateczna woltę. Dzięki tym wszystkim zabiegom ciężko tę książkę odłożyć.""
Gaja Grzegorzewska, portalkryminalny.pl

""Mnóstwo adrenaliny, ale też wędrówka przez gabinet luster, w których możemy się obejrzeć. Właśnie w tym Coben jest najlepszy.""
""The Houston Chronicle""",Kryminał,"QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS that we can look at. That's what Coben is best at.”
""The Houston Chronicle"""
1103,Jedenaście godzin,Paullina Simons,"Historia, od której nie sposób się oderwać. Początek serii sprzedanej w blisko milionie egzemplarzy.
Młoda kobieta w zaawansowanej ciąży opuszcza centrum handlowe w upalny dzień. Życie upływa jej na zakupach, dbaniu o rodzinę: ukochanego męża Richa oraz dwie córeczki, i oczekiwaniu narodzin trzeciego dziecka. Nagle zostaje ono brutalnie zakłócone przez zdesperowanego młodego człowieka, który porywa Didi. Jakie są jego motywy? Rozpoczyna się morderczy wyścig z czasem, z udziałem policji, FBI i zrozpaczonego Richa. W ciągu kolejnych jedenastu godzin Didi dociera do granic ludzkiej wytrzymałości, mierząc się z koszmarnym przeznaczeniem.
W „Jedenastu godzinach” Simons stworzyła nowy gatunek thrillera, który prowadzi czytelnika do najmroczniejszych zakamarków ludzkiej duszy.",Kryminał,"
A story that is impossible to put down. The beginning of a series that has sold almost a million copies. A young, heavily pregnant woman leaves a shopping mall on a hot day. Her life is filled with shopping, taking care of her family: her beloved husband Rich and two daughters, and waiting for the birth of her third child. Suddenly, it is brutally disrupted by a desperate young man who kidnaps Didi . What are his motives? A murderous race against time begins, involving the police, the FBI and a desperate Rich . Over the next eleven hours, Didi reaches the limits of human endurance, facing a nightmarish fate.
In ""Eleven Hours,"" Simons has created a new genre of thriller that takes the reader to the darkest corners of the human soul."
809,Fale,Justyna Spandel,"Życie Poli miało wreszcie nabrać rozpędu – wymarzone studia, pierwsza poważna rozmowa o pracę i w perspektywie świetlana przyszłość. Ale jedna tajemnicza pocztówka wywraca wszystko do góry nogami. Znikające prace, ukryte wiadomości i zdjęcia, które nie mają prawa istnieć – czy to tylko seria dziwnych zbiegów okoliczności, czy ktoś celowo próbuje zniszczyć wszystko, nad czym pracowała?

W poszukiwaniu odpowiedzi Pola trafia nad jezioro, gdzie skrywają się nie tylko tajemnice, ale i poważne zagrożenia. Nieznajomi wiedzą o niej więcej, niż powinni, a mroczna rodzinna historia nie zamierza dłużej przebywać w cieniu. Każdy kolejny krok wciąga ją coraz głębiej w sieć intryg, z której nie ma ucieczki.
Zdrady, napięcie i nieoczekiwane zwroty akcji. Czy Pola odkryje prawdę, zanim wszystko wymknie się spod kontroli?

Ta książka to intensywna, pełna napięcia podróż, która nie pozwoli Ci zasnąć, dopóki nie poznasz zakończenia.",Kryminał,"
Pola's life was finally supposed to take off - her dream studies, her first serious job interview and a bright future ahead. But one mysterious postcard turns everything upside down. Disappearing works, hidden messages and photos that have no right to exist - is it just a series of strange coincidences or is someone deliberately trying to destroy everything she has worked for?
In search of answers, Pola finds herself at a lake where not only secrets are hidden, but also serious threats. Strangers know more about her than they should, and a dark family history does not intend to remain in the shadows any longer. Each subsequent step draws her deeper into a web of intrigue from which there is no escape. Betrayals, tension and unexpected plot twists. Will Pola discover the truth before everything gets out of control?
This book is an intense, suspenseful journey that will keep you awake until you find out the ending."
